K Value = 1     Percent Correct: 46.6608%
K Value = 2     Percent Correct: 41.324%
K Value = 3     Percent Correct: 41.3823%
K Value = 4     Percent Correct: 42.9863%
K Value = 5     Percent Correct: 42.6655%
K Value = 6     Percent Correct: 42.8988%
K Value = 7     Percent Correct: 43.3654%
K Value = 8     Percent Correct: 43.3071%
K Value = 9     Percent Correct: 43.657%
K Value = 10    Percent Correct: 43.3946%
K Value = 11    Percent Correct: 43.2488%
K Value = 12    Percent Correct: 44.182%
K Value = 13    Percent Correct: 43.8903%
K Value = 14    Percent Correct: 44.0362%
K Value = 15    Percent Correct: 44.5319%
K Value = 16    Percent Correct: 44.182%
K Value = 17    Percent Correct: 44.4153%
K Value = 18    Percent Correct: 44.2403%
K Value = 19    Percent Correct: 44.3278%
K Value = 20    Percent Correct: 44.2986%
K Value = 21    Percent Correct: 44.0945%
K Value = 22    Percent Correct: 44.1237%
K Value = 23    Percent Correct: 44.5028%
K Value = 24    Percent Correct: 44.5028%
K Value = 25    Percent Correct: 44.7069%
K Value = 26    Percent Correct: 44.3861%
K Value = 27    Percent Correct: 44.8236%
K Value = 28    Percent Correct: 44.6777%
K Value = 29    Percent Correct: 45.1735%
K Value = 30    Percent Correct: 45.2027%
K Value = 31    Percent Correct: 44.6777%
K Value = 32    Percent Correct: 44.8236%
K Value = 33    Percent Correct: 44.4444%
K Value = 34    Percent Correct: 45.3777%
K Value = 35    Percent Correct: 45.2318%
K Value = 36    Percent Correct: 45.4652%
K Value = 37    Percent Correct: 45.5818%
K Value = 38    Percent Correct: 45.2027%
K Value = 39    Percent Correct: 45.4652%
K Value = 40    Percent Correct: 45.3485%
K Value = 41    Percent Correct: 45.2027%
K Value = 42    Percent Correct: 45.4068%
K Value = 43    Percent Correct: 45.0569%
K Value = 44    Percent Correct: 44.7652%
K Value = 45    Percent Correct: 44.8527%
K Value = 46    Percent Correct: 45.611%
K Value = 47    Percent Correct: 45.3193%
K Value = 48    Percent Correct: 45.5818%
K Value = 49    Percent Correct: 45.1444%
K Value = 50    Percent Correct: 45.7276%
K Value = 51    Percent Correct: 45.5235%
K Value = 52    Percent Correct: 45.4943%
K Value = 53    Percent Correct: 45.8734%
K Value = 54    Percent Correct: 45.6985%
K Value = 55    Percent Correct: 45.2902%
K Value = 56    Percent Correct: 45.3485%
K Value = 57    Percent Correct: 45.4652%
K Value = 58    Percent Correct: 45.3777%
K Value = 59    Percent Correct: 45.436%
K Value = 60    Percent Correct: 45.0277%
K Value = 61    Percent Correct: 45.5818%
K Value = 62    Percent Correct: 45.2902%
K Value = 63    Percent Correct: 45.8443%
K Value = 64    Percent Correct: 45.9318%
K Value = 65    Percent Correct: 46.0192%
K Value = 66    Percent Correct: 46.4567%
K Value = 67    Percent Correct: 45.8151%
K Value = 68    Percent Correct: 46.0776%
K Value = 69    Percent Correct: 45.6401%
K Value = 70    Percent Correct: 45.7276%
K Value = 71    Percent Correct: 45.611%
K Value = 72    Percent Correct: 45.436%
K Value = 73    Percent Correct: 45.6401%
K Value = 74    Percent Correct: 45.8443%
K Value = 75    Percent Correct: 46.1651%
K Value = 76    Percent Correct: 45.9026%
K Value = 77    Percent Correct: 45.8443%
K Value = 78    Percent Correct: 45.7276%
K Value = 79    Percent Correct: 45.8734%
K Value = 80    Percent Correct: 46.2526%
K Value = 81    Percent Correct: 46.0484%
K Value = 82    Percent Correct: 46.4567%
K Value = 83    Percent Correct: 45.9901%
K Value = 84    Percent Correct: 46.1359%
K Value = 85    Percent Correct: 46.1651%
K Value = 86    Percent Correct: 46.3692%
K Value = 87    Percent Correct: 46.0776%
K Value = 88    Percent Correct: 46.5442%
K Value = 89    Percent Correct: 46.3109%
K Value = 90    Percent Correct: 46.6317%
K Value = 91    Percent Correct: 46.7775%
K Value = 92    Percent Correct: 46.69%
K Value = 93    Percent Correct: 46.3984%
K Value = 94    Percent Correct: 46.4859%
K Value = 95    Percent Correct: 46.3984%
K Value = 96    Percent Correct: 46.3109%
K Value = 97    Percent Correct: 46.6317%
K Value = 98    Percent Correct: 46.1359%
K Value = 99    Percent Correct: 46.2817%

The best result was with K Value = 91   Percent Correct: 46.7775%
